,Country or Area,Births,Population
0,Afghanistan,1408.0,30117.412999999997
1,Albania,41.0,2928.592
2,Algeria,712.0,36661.445
3,Angola,803.0,24220.661
4,Argentina,693.0,41320.5
5,Armenia,47.0,2876.538
6,Australia,307.0,22538.001
7,Austria,74.0,8453.501
8,Azerbaijan,184.0,9146.275
9,Bahamas,5.0,359.57800000000003
10,Bahrain,23.0,1278.151
11,Bangladesh,3016.0,149273.139
12,Barbados,3.0,282.987
13,Belarus,107.0,9415.32
14,Belgium,123.0,11013.853000000001
15,Belize,8.0,330.23699999999997
16,Benin,356.0,9460.831
17,Bhutan,15.0,693.298
18,Bolivia (Plurinational State of),264.0,10212.954
19,Bosnia and Herzegovina,32.0,3661.175
20,Botswana,47.0,2015.4029999999998
21,Brazil,2996.0,197514.53600000002
22,Brunei Darussalam,8.0,393.68800000000005
23,Bulgaria,75.0,7378.65
24,Burkina Faso,730.0,16081.913
25,Burundi,288.0,8958.405999999999
26,Cambodia,317.0,14541.423
27,Cameroon,716.0,20906.388
28,Canada,388.0,34539.159
29,Cabo Verde,10.0,498.85699999999997
31,Central African Republic,156.0,4418.637
32,Chad,511.0,12360.99
33,Chile,245.0,17233.576
34,China,16364.0,1376497.639
35,Colombia,910.0,45662.748
36,Comoros,28.0,706.569
37,Congo,145.0,4394.844
38,Costa Rica,73.0,4633.085999999999
39,Côte d'Ivoire,679.0,21028.655
40,Croatia,43.0,4313.099
41,Cuba,110.0,11236.671
42,Cyprus,13.0,1124.833
43,Czechia,116.0,10566.517
44,Dem. People's Republic of Korea,348.0,24673.395
45,Democratic Republic of the Congo,2912.0,66755.15299999999
46,Denmark,64.0,5582.978
47,Djibouti,26.0,853.674
48,Dominican Republic,216.0,9813.211
51,Ecuador,298.0,15243.883999999998
52,Egypt,1886.0,84529.252
53,El Salvador,126.0,6210.568
54,Equatorial Guinea,26.0,986.8530000000001
55,Eritrea,193.0,3213.972
56,Estonia,16.0,1327.7089999999998
57,Ethiopia,2613.0,90139.929
58,Fiji,18.0,863.449
59,Finland,61.0,5390.0380000000005
60,France,792.0,63222.227
61,Gabon,42.0,1684.635
62,Gambia,67.0,1848.1470000000002
63,Georgia,51.0,4081.0170000000003
64,Germany,699.0,80855.632
65,Ghana,776.0,25387.712000000003
66,Greece,117.0,10829.079
67,Grenada,2.0,106.796
68,Guatemala,473.0,14948.801000000001
69,Guinea,394.0,10420.472
70,Guinea-Bissau,59.0,1562.989
71,Guyana,13.0,752.028
72,Haiti,266.0,10100.32
73,Honduras,205.0,8480.671
74,Hungary,100.0,9895.68
75,Iceland,5.0,323.474
76,India,27098.0,1250287.943
77,Indonesia,4331.0,245115.987
78,Iran (Islamic Republic of),1255.0,74634.957
79,Iraq,1144.0,30725.3
80,Ireland,72.0,4591.105
81,Israel,156.0,7487.1
82,Italy,557.0,59589.075999999994
83,Jamaica,50.0,2825.929
84,Japan,1073.0,128498.965
85,Jordan,154.0,7662.846
86,Kazakhstan,345.0,16490.67
87,Kenya,1560.0,43178.274000000005
88,Kuwait,50.0,3168.06
89,Kyrgyzstan,131.0,5517.922
90,Lao People's Democratic Republic,140.0,6347.566999999999
92,Latvia,24.0,2093.61
94,Lebanon,65.0,5202.026
95,Lesotho,60.0,2003.7879999999998
96,Liberia,157.0,4017.4429999999998
97,Libya,144.0,6247.439
98,Lithuania,35.0,3083.403
99,Luxembourg,6.0,519.307
100,Madagascar,747.0,21743.967
101,Malawi,686.0,14962.115
102,Malaysia,579.0,28650.959
103,Maldives,5.0,380.495
104,Mali,728.0,15514.59
105,Malta,4.0,417.714
106,Mauritania,118.0,3598.6479999999997
107,Mauritius,16.0,1251.08
108,Mexico,2195.0,115695.47300000001
109,Micronesia (Fed. States of),3.0,103.45
111,Mongolia,65.0,2770.361
112,Montenegro,8.0,625.27
113,Morocco,620.0,32781.852999999996
114,Mozambique,889.0,24187.494
115,Myanmar,824.0,50990.617
116,Namibia,60.0,2156.698
117,Nepal,722.0,27041.22
118,Netherlands,181.0,16738.193
119,New Zealand,64.0,4418.678
120,Nicaragua,138.0,5903.039000000001
121,Niger,777.0,17114.766
122,Nigeria,6458.0,162805.077
123,Norway,61.0,4948.33
124,Oman,50.0,3251.1079999999997
125,Pakistan,4764.0,183340.174
126,Panama,70.0,3706.4829999999997
127,Papua New Guinea,208.0,7472.1990000000005
128,Paraguay,158.0,6333.976
129,Peru,591.0,29264.318
130,Philippines,2358.0,95570.05
131,Poland,410.0,38286.831
132,Portugal,97.0,10569.38
133,Qatar,21.0,2035.871
134,Republic of Korea,479.0,49786.15900000001
135,Republic of Moldova,44.0,4079.164
136,Romania,221.0,20336.718
137,Russian Federation,1689.0,143703.025
138,Rwanda,449.0,10293.331
139,Saint Lucia,3.0,175.544
140,Saint Vincent and the Grenadines,2.0,108.316
141,Samoa,4.0,187.46900000000002
142,Sao Tome and Principe,5.0,184.524
143,Saudi Arabia,605.0,28267.589
144,Senegal,471.0,13033.809
145,Serbia,110.0,8963.769
146,Sierra Leone,227.0,6563.24
147,Singapore,47.0,5263.6359999999995
148,Slovakia,58.0,5408.937
149,Slovenia,20.0,2051.2870000000003
150,Solomon Islands,17.0,541.521
151,Somalia,416.0,12376.301000000001
152,South Africa,1052.0,52003.755
154,Spain,499.0,47084.24
155,Sri Lanka,373.0,20398.497
156,State of Palestine,137.0,4149.649
158,Sudan,1447.0,45180.380000000005
159,Suriname,10.0,535.179
160,Eswatini,35.0,1072.0330000000001
161,Sweden,113.0,9466.71
162,Switzerland,77.0,7906.991999999999
163,Syrian Arab Republic,466.0,21081.815
164,Tajikistan,194.0,7697.51
165,Thailand,824.0,67518.38799999999
166,North Macedonia,22.0,2072.487
167,Timor-Leste,44.0,1113.151
168,Togo,195.0,6595.943
169,Tonga,3.0,103.56200000000001
170,Trinidad and Tobago,20.0,1336.1779999999999
171,Tunisia,179.0,10741.88
172,Turkey,1289.0,73443.25
173,Turkmenistan,109.0,5174.085
174,Uganda,1545.0,33476.772000000004
175,Ukraine,494.0,45619.844000000005
176,United Arab Emirates,94.0,8946.777
177,United Kingdom,761.0,64021.919
178,United Republic of Tanzania,1913.0,45673.512
179,United States of America,4322.0,311584.047
180,Uruguay,49.0,3368.934
181,Uzbekistan,589.0,28977.01
182,Vanuatu,7.0,242.653
183,Venezuela (Bolivarian Republic of),598.0,28887.874
184,Viet Nam,1458.0,88871.38
187,Yemen,940.0,23807.588
188,Zambia,622.0,14023.203000000001
189,Zimbabwe,377.0,12894.322
