,Country or Area,Year(s),Variant,Value
0,Afghanistan,2011,Medium,30117.412999999997
1,Africa,2011,Medium,1066409.7
2,Albania,2011,Medium,2928.592
3,Algeria,2011,Medium,36661.445
4,American Samoa,2011,Medium,55.75899999999999
5,Andorra,2011,Medium,83.74700000000001
6,Angola,2011,Medium,24220.661
7,Anguilla,2011,Medium,13.62
8,Antigua and Barbuda,2011,Medium,89.25299999999999
9,Argentina,2011,Medium,41320.5
10,Armenia,2011,Medium,2876.538
11,Aruba,2011,Medium,102.046
12,Asia,2011,Medium,4255189.678
13,Australia,2011,Medium,22538.001
14,Australia/New Zealand,2011,Medium,26956.679
15,Austria,2011,Medium,8453.501
16,Azerbaijan,2011,Medium,9146.275
17,Bahamas,2011,Medium,359.57800000000003
18,Bahrain,2011,Medium,1278.151
19,Bangladesh,2011,Medium,149273.139
20,Barbados,2011,Medium,282.987
21,Belarus,2011,Medium,9415.32
22,Belgium,2011,Medium,11013.853000000001
23,Belize,2011,Medium,330.23699999999997
24,Benin,2011,Medium,9460.831
25,Bermuda,2011,Medium,65.078
26,Bhutan,2011,Medium,693.298
27,Bolivia (Plurinational State of),2011,Medium,10212.954
28,"Bonaire, Sint Eustatius and Saba",2011,Medium,21.993000000000002
29,Bosnia and Herzegovina,2011,Medium,3661.175
30,Botswana,2011,Medium,2015.4029999999998
31,Brazil,2011,Medium,197514.53600000002
32,British Virgin Islands,2011,Medium,28.319000000000003
33,Brunei Darussalam,2011,Medium,393.68800000000005
34,Bulgaria,2011,Medium,7378.65
35,Burkina Faso,2011,Medium,16081.913
36,Burundi,2011,Medium,8958.405999999999
37,Cape Verde,2011,Medium,498.85699999999997
38,Cambodia,2011,Medium,14541.423
39,Cameroon,2011,Medium,20906.388
40,Canada,2011,Medium,34539.159
41,Caribbean,2011,Medium,41514.63
42,Cayman Islands,2011,Medium,57.878
43,Central African Republic,2011,Medium,4418.637
44,Central America,2011,Medium,159908.358
45,Central and Southern Asia,2011,Medium,1800024.333
46,Central Asia,2011,Medium,63857.197
47,Chad,2011,Medium,12360.99
48,Channel Islands,2011,Medium,160.998
49,Chile,2011,Medium,17233.576
50,China,2011,Medium,1376497.639
51,"China, Hong Kong SAR",2011,Medium,7006.59
52,"China, Macao SAR",2011,Medium,550.832
53,Other non-specified areas,2011,Medium,23268.765
54,Colombia,2011,Medium,45662.748
55,Comoros,2011,Medium,706.569
56,Congo,2011,Medium,4394.844
57,Cook Islands,2011,Medium,18.195
58,Costa Rica,2011,Medium,4633.085999999999
59,Côte d'Ivoire,2011,Medium,21028.655
60,Croatia,2011,Medium,4313.099
61,Cuba,2011,Medium,11236.671
62,Curaçao,2011,Medium,152.315
63,Cyprus,2011,Medium,1124.833
64,Czech Republic,2011,Medium,10566.517
65,Dem. People's Republic of Korea,2011,Medium,24673.395
66,Democratic Republic of the Congo,2011,Medium,66755.15299999999
67,Denmark,2011,Medium,5582.978
68,Djibouti,2011,Medium,853.674
69,Dominica,2011,Medium,70.916
70,Dominican Republic,2011,Medium,9813.211
71,Eastern Africa,2011,Medium,348907.766
72,Eastern and South-Eastern Asia,2011,Medium,2217429.5519999997
73,Eastern Asia,2011,Medium,1613052.706
74,Eastern Europe,2011,Medium,294690.686
75,Ecuador,2011,Medium,15243.883999999998
76,Egypt,2011,Medium,84529.252
77,El Salvador,2011,Medium,6210.568
78,Equatorial Guinea,2011,Medium,986.8530000000001
79,Eritrea,2011,Medium,3213.972
80,Estonia,2011,Medium,1327.7089999999998
81,Eswatini,2011,Medium,1072.0330000000001
82,Ethiopia,2011,Medium,90139.929
83,Europe,2011,Medium,737850.675
84,Europe,2011,Medium,737850.675
85,Europe and Northern America,2011,Medium,1084101.8390000002
86,Falkland Islands (Malvinas),2011,Medium,2.873
87,Faroe Islands,2011,Medium,47.823
88,Fiji,2011,Medium,863.449
89,Finland,2011,Medium,5390.0380000000005
90,France,2011,Medium,63222.227
91,French Guiana,2011,Medium,238.38400000000001
92,French Polynesia,2011,Medium,267.698
93,Gabon,2011,Medium,1684.635
94,Gambia,2011,Medium,1848.1470000000002
95,Georgia,2011,Medium,4081.0170000000003
96,Germany,2011,Medium,80855.632
97,Ghana,2011,Medium,25387.712000000003
98,Gibraltar,2011,Medium,33.611999999999995
99,Greece,2011,Medium,10829.079
100,Greenland,2011,Medium,56.552
101,Grenada,2011,Medium,106.796
102,Guadeloupe,2011,Medium,405.64
103,Guam,2011,Medium,159.692
104,Guatemala,2011,Medium,14948.801000000001
105,Guinea,2011,Medium,10420.472
106,Guinea-Bissau,2011,Medium,1562.989
107,Guyana,2011,Medium,752.028
108,Haiti,2011,Medium,10100.32
109,High-income countries,2011,Medium,1205302.617
110,Holy See,2011,Medium,0.7959999999999999
111,Honduras,2011,Medium,8480.671
112,Hungary,2011,Medium,9895.68
113,Iceland,2011,Medium,323.474
114,India,2011,Medium,1250287.943
115,Indonesia,2011,Medium,245115.987
116,Iran (Islamic Republic of),2011,Medium,74634.957
117,Iraq,2011,Medium,30725.3
118,Ireland,2011,Medium,4591.105
119,Isle of Man,2011,Medium,84.88600000000001
120,Israel,2011,Medium,7487.1
121,Italy,2011,Medium,59589.075999999994
122,Jamaica,2011,Medium,2825.929
123,Japan,2011,Medium,128498.965
124,Jordan,2011,Medium,7662.846
125,Kazakhstan,2011,Medium,16490.67
126,Kenya,2011,Medium,43178.274000000005
127,Kiribati,2011,Medium,104.728
128,Kuwait,2011,Medium,3168.06
129,Kyrgyzstan,2011,Medium,5517.922
